ID_Transformador,ano,mes,dia,count,mean,std,min,25%,50%,75%,max
1003712,2018,6,3,96.0,10716.523541666666,19.74456012913386,10675.46,10707.085,10716.14,10725.745,10759.18
1003712,2018,6,4,96.0,10805.70770833333,22.54264045988193,10760.54,10792.9,10807.1,10815.985,10852.2
1003712,2018,6,5,96.0,10897.131666666666,21.741529828837855,10853.62,10885.43,10897.42,10906.715,10944.1
1003712,2018,6,6,81.0,10989.79802469136,22.387645388682206,10945.58,10982.6,10990.7,11002.18,11033.5
1003712,2018,6,7,81.0,11082.620987654318,18.583521168291714,11035.12,11072.6,11080.36,11091.04,11122.94
1003712,2018,6,8,82.0,11166.969268292678,20.8226802262262,11128.62,11155.49,11162.94,11179.515,11211.24
1003712,2018,6,9,83.0,11263.844578313252,22.894407736665695,11212.74,11252.16,11261.54,11275.42,11311.0
1003712,2018,6,10,1.0,11312.48,,11312.48,11312.48,11312.48,11312.48,11312.48
1003941,2018,5,1,81.0,1003.3723456790124,12.897798481873275,986.5,991.84,999.48,1015.84,1025.88
1003941,2018,5,2,84.0,1044.7897619047621,13.933232006949973,1026.26,1032.48,1042.12,1052.9,1072.0
1003941,2018,5,3,85.0,1090.8837647058824,13.66247711421171,1072.32,1078.08,1088.34,1103.06,1116.32
1003941,2018,5,4,79.0,1148.1972151898738,14.231769709649054,1122.6,1135.01,1148.14,1160.15,1171.98
1003941,2018,5,5,52.0,1196.018846153846,15.443346388077355,1172.5,1184.7399999999998,1196.81,1213.5300000000002,1219.38
1003941,2018,5,6,85.0,1240.530588235294,12.908698281256969,1219.84,1226.96,1241.92,1251.14,1261.3
1003941,2018,5,7,78.0,1282.3982051282053,16.563258411439733,1261.6,1268.1499999999999,1276.46,1298.545,1310.62
1003941,2018,5,8,86.0,1332.6223255813954,13.45433493881026,1311.02,1320.71,1332.7199999999998,1343.82,1355.12
1003941,2018,5,9,87.0,1377.2537931034485,14.22529627282747,1355.4,1365.37,1376.56,1388.9499999999998,1401.98
1003941,2018,5,10,96.0,1421.8241666666672,14.175671944839848,1402.28,1408.225,1420.8200000000002,1432.96,1447.2
1003941,2018,5,11,95.0,1468.4014736842103,15.486603748966116,1447.52,1453.6799999999998,1467.0,1480.93,1497.04
1003941,2018,5,12,91.0,1520.6791208791215,15.166787959101196,1499.52,1505.9099999999999,1520.2,1532.9499999999998,1547.36
1003941,2018,5,13,96.0,1565.8116666666672,11.187225296049121,1547.68,1555.01,1567.13,1575.4850000000001,1583.22
1003941,2018,5,14,96.0,1598.1066666666668,9.51248428082709,1583.48,1589.625,1597.75,1604.99,1616.72
1003941,2018,5,15,87.0,1638.5009195402301,14.104298836037252,1617.1,1625.65,1637.64,1649.65,1663.48
1003941,2018,5,16,96.0,1684.7806250000003,15.32936815482999,1663.86,1670.4299999999998,1682.49,1697.37,1712.28
1003941,2018,5,17,96.0,1733.154583333333,15.27038261104544,1712.58,1718.9299999999998,1730.7600000000002,1745.4650000000001,1760.66
1003941,2018,5,18,82.0,1778.0736585365844,12.506963148206886,1761.04,1766.8049999999998,1775.6599999999999,1787.03,1803.24
1003941,2018,5,19,94.0,1830.6255319148938,15.088933323923506,1810.58,1816.8799999999999,1828.1999999999998,1843.3799999999999,1858.18
1003941,2018,5,20,96.0,1877.6718749999998,13.099848638137209,1858.54,1865.68,1876.59,1888.655,1901.18
1003941,2018,5,21,84.0,1922.4709523809531,16.114101107530917,1901.46,1908.205,1918.27,1937.245,1951.16
1003941,2018,5,22,85.0,1971.0887058823528,14.820952172695321,1951.54,1958.22,1968.62,1981.0,2000.5
1003941,2018,5,23,84.0,2022.2776190476184,16.56130586922691,2000.94,2007.72,2018.6399999999999,2033.39,2055.66
1003941,2018,5,24,96.0,2079.6981250000003,16.484307326251734,2056.04,2064.325,2079.36,2093.26,2108.64
1003941,2018,5,25,96.0,2132.964583333333,17.34412917002945,2109.06,2116.93,2131.02,2146.9750000000004,2164.3
1003941,2018,5,26,80.0,2192.630750000001,15.448711369388821,2164.74,2178.87,2192.67,2205.63,2218.0
1003941,2018,5,27,80.0,2240.6845000000003,13.243764417618092,2221.08,2227.5049999999997,2243.1400000000003,2251.915,2262.46
1003941,2018,5,28,80.0,2285.6445,18.43869403514031,2262.88,2269.355,2279.71,2304.42,2317.82
1003941,2018,5,29,65.0,2349.2550769230775,15.720064818079328,2318.22,2339.28,2348.82,2362.88,2373.18
1003941,2018,5,30,60.0,2407.197999999999,16.191185172436768,2373.52,2397.925,2407.83,2419.025,2431.86
1003941,2018,5,31,81.0,2455.1674074074076,18.81303894761407,2432.18,2439.32,2449.02,2473.88,2489.28
1003941,2018,6,1,77.0,2517.9779220779214,19.646601844758802,2489.82,2496.9,2520.64,2534.62,2548.58
1003941,2018,6,2,96.0,2574.7443750000007,18.56638370323606,2549.02,2558.08,2572.2,2589.995,2608.68
1003941,2018,6,3,95.0,2632.5136842105258,14.765728365188629,2609.18,2618.54,2632.64,2644.95,2657.34
1003941,2018,6,4,96.0,2680.6772916666673,15.167842054416292,2657.7,2666.46,2680.0,2692.98,2706.82
1003941,2018,6,5,89.0,2732.210561797753,18.216432913440766,2707.12,2716.32,2728.64,2746.2,2766.22
1003941,2018,6,6,64.0,2784.031874999999,16.422256565840332,2766.62,2771.7050000000004,2778.35,2787.9750000000004,2817.36
1003941,2018,6,7,84.0,2844.0759523809515,16.19536830404694,2817.8,2830.12,2843.27,2856.93,2872.64
1003941,2018,6,8,80.0,2897.0415,19.079463882020292,2873.08,2880.0699999999997,2890.55,2916.045,2929.86
1003941,2018,6,9,92.0,2956.0458695652183,18.42974698580592,2930.2,2938.605,2955.0299999999997,2971.965,2987.58
1003941,2018,6,10,1.0,2987.9,,2987.9,2987.9,2987.9,2987.9,2987.9
1003951,2018,5,6,94.0,3577.203829787235,30.87008048330915,3530.04,3549.99,3574.68,3600.06,3638.04
1003951,2018,5,7,96.0,3697.319374999999,40.04882446037453,3639.18,3660.6000000000004,3693.0299999999997,3730.2000000000003,3770.1
1003951,2018,5,8,83.0,3827.3248192771107,39.478593099003646,3771.12,3790.41,3831.66,3860.1,3895.98
1003951,2018,5,9,86.0,3950.252790697675,33.686091374933696,3901.44,3920.3849999999998,3945.75,3977.52,4015.8
1003951,2018,5,10,81.0,4088.7170370370363,32.793959369236134,4029.78,4060.92,4088.88,4114.08,4147.26
1003951,2018,5,11,96.0,4208.206249999998,41.887564220372056,4148.52,4170.959999999999,4200.27,4244.625,4282.98
1003951,2018,5,12,58.0,4348.2155172413795,36.4948992433245,4284.36,4308.495,4358.52,4376.295,4397.46
